G1U3G3 G1T6A2
G1SS04 G1SS04
G1SVH2 G1SVH2
G1SZW1 G1SZW1
G1SCL1 G1TQI7
G1TIH6 G1TIH6
G1SI19 G1SQ08
U3KM50 G1SEV3
G1SK75 G1SMK4
G1T0E9 G1TAD4
G1SRE9 G1T812
G1U150 G1U150
G1SE02 G1SE02
G1SV73 G1SV73
G1T084 U3KN32
G1U9A0 G1U9A0
G1TG73 G1TG73
G1T168 G1T168
G1T5E0 G1TB02
G1U4W1 G1SJ27
G1SEM8 G1SEM8
G1TUX8 G1SWH6
G1SNE4 G1SRR5
G1SES8 G1SES8
G1U5I9 G1TET6
G1T988 G1U0P2
G1T805 G1SKG9
G1T474 G1SUV4
G1SHK5 G1SHK5
G1T7X4 G1U063
G1SIN9 G1TFM8
G1SLH1 G1SVI8
G1U819 G1TAL0
G1TWP8 G1TWP8
G1SCR1 G1SI06
G1TET6 G1SU62
G1TZV8 G1TKW6
G1SDD2 G1T2N5
G1SFE4 O79431
G1T4W1 G1TDE9
G1TB15 G1T0U9
G1SCQ3 G1SLK3
G1SRA8 G1SNV8
G1SZ27 G1SZ27
G1T3U3 G1T3U3
G1THQ6 G1THQ6
G1T603 G1T603
G1SP04 G1SUT3
G1T328 G1SQC8
G1T6M1 G1T6M1
G1U0Z1 G1TQR8
G1SGS5 G1SGS5
G1SUT3 G1SUT3
G1SWF2 G1SWF2
G1SSP4 G1TF98
G1SG92 G1SG92
G1T0G6 G1SNU7
G1T2M5 G1T2M5
G1T4A3 G1T4A3
G1SL22 G1SL22
G1TXZ4 G1TXZ4
G1TE61 G1TE61
G1STA4 G1TDZ0
G1SRU6 G1T8T0
G1SGZ2 G1SRI0
G1STD1 G1ST65
G1TZP0 G1TZP0
G1SJ44 G1TM63
O79428 G1TC00
G1T727 G1T727
G1T619 G1TAF0
G1TCA2 G1TCA2
G1SWR6 G1SQ17
G1TW17 G1TW17
G1SRN5 G1SMK4
G1SW49 G1TAB0
G1T383 G1TCX9
G1U2J7 G1U2J7
G1TYK6 G1SZ47
G1TYQ2 G1SEP0
G1T9M2 G1SGH9
G1TVP2 G1SJD0
G1TD17 G1TJI5
G1SZL1 G1SID0
G1TFT7 G1T1I0
G1TUE7 G1U3B6
G1TMI9 G1SCU4
G1SKE2 G1SKE2
G1SDL8 G1SDL8
G1T5N8 G1SNU7
G1SNC2 G1SIA1
G1TDM7 G1TDM7
G1TYE2 G1TYE2
G1T553 G1T553
G1SNF7 G1T2E9
G1SLH6 G1SLH6
G1SIE9 G1T485
G1SV48 G1SV48
G1SMB6 G1T6L3
G1T474 G1SL92
G1SEV7 G1T290
G1SDD2 G1SXB4
G1TC91 G1SE02
G1THN0 G1TQ88
G1U763 G1U763
G1TIF2 G1TIF2
G1SLP7 G1STA4
G1SW65 G1U242
G1SF45 G1SF45
G1U0Z1 G1SUC1
G1TEF7 G1T5M9
P26013 G1T1Z2
G1TYL0 G1SGV0
G1SSE9 G1T9N8
G1SLB8 G1TJI5
G1TPK0 G1TPK0
G1T675 G1TEH6
G1T8R5 G1SLG1
G1SKD5 G1SKD5
G1T001 G1SFN6
G1SLH6 G1TAU2
G1SU74 U3KPC0
G1SWD6 G1SWD6
G1SPY8 G1TPU5
G1TF92 G1SNR3
G1SX65 B7NZ87
G1SDZ9 G1SNF7
G1SCG9 G1SJ85
G1U084 G1T2E9
G1T069 G1T069
G1TJ83 G1T805
G1SZW0 G1SZW0
G1SDJ4 G1T477
G1SLB6 G1SLB6
G1TAQ1 G1TAQ1
G1TET6 G1SQU2
G1T1I5 G1SD50
G1TGN6 U3KNL1
G1T1B9 G1T1B9
G1SEH2 G1SEH2
G1TBJ4 P40826
G1STY6 G1STY6
G1TDZ0 G1T532
G1SWG0 U3KM44
G1SD78 G1SD78
G1T214 G1T214
G1TVA3 G1TVA3
G1SYU0 G1TKY3
G1SXC4 G1T1I0
G1U9M4 G1SDT8
G1SRN5 G1U7J4
G1SXH9 G1SXH9
G1TBZ0 G1U684
G1SVF3 G1SVF3
G1SZW3 G1SUG5
G1SUZ5 G1SL13
G1SVI0 G1SVI0
G1TKA4 G1TKA4
G1SWE0 G1SG50
G1TYL1 G1SKY3
G1TNR4 G1T3H4
G1T1D9 G1T1D9
G1SVG6 Q28888
G1TH13 G1TH13
G1T2H5 G1T2H5
G1SY99 G1SNR3
G1SXN0 G1SXN0
G1T162 G1T162
G1TJL4 G1TJL4
G1ST93 G1SQE2
G1SIE7 G1SIE7
G1SV03 G1SV03
G1TU00 G1SGX2
A0A0A0MQP7 A0A0A0MQP7
G1T7W0 G1T3B1
G1SKU8 G1TAD4
G1U2K7 G1U2K7
G1T3E7 P18597
U3KLT4 U3KLT4
G1SGD5 G1SGD5
G1TTT2 U3KP59
G1SME0 G1TBF2
G1TCV3 G1SXM2
G1U3F3 O79431
G1T216 G1T216
G1T6I0 G1T6I0
G1T5M9 G1TEF7
G1SSK7 G1SSK7
B7NZ87 G1TMI9
G1T9C7 G1TDE9
G1SJA6 G1TJI5
G1STQ3 G1U5L3
G1TLU0 G1TLU0
G1SFZ8 G1SFZ8
G1SS01 G1SS01
G1SD61 G1SD61
G1SCL9 G1SVB2
G1T9C2 G1T9C2
G1TSJ2 G1SZ89
G1TVE5 G1SDP8
G1SY77 G1SRI0
G1TBP5 G1TBP5
G1SJF8 G1SJF8
G1SM26 G1TGN6
G1SHS3 G1SEZ7
G1T6Y8 G1SPK9
G1T5A8 G1U8F8
G1SQ39 G1SQ39
G1SLF0 G1SLF0
G1TE96 G1TE96
G1SF58 G1TU32
G1SGY4 G1SHG8
G1SNM1 G1U4G9
G1TBF4 G1SJJ6
G1SV56 G1SV56
G1TC88 G1TC88
G1T341 G1SDC1
G1U9A0 G1TY04
G1TG03 G1T6R1
G1T647 G1T4R6
G1SNE4 G1SNE4
G1SZK3 G1SZK3
G1TCM7 G1SL82
G1TYA7 G1TYA7
G1TLS9 G1TLS9
G1TBF6 U3KNG4
G1T9N8 G1TRM6
G1SES8 G1SG90
G1SQU2 G1TCB3
G1SYN8 G1SYN8
G1T060 G1TGQ6
G1SDZ7 G1SDZ7
G1T5N0 G1T5N0
G1T9C7 G1TEZ6
E2J6N2 E2J6N2
G1SLF7 G1SLF7
G1SMM8 G1STD1
G1SU60 G1SYM7
G1SJT2 G1SJT2
G1T996 G1T996
G1SUE8 G1SSJ1
G1SQ97 G1TB45
G1T8T3 G1T8T3
G1T328 G1T4Q0
G1SN29 G1U287
G1SQ34 G1SQ34
G1T9S3 G1SND6
G1SQ79 G1SQ79
G1SGB8 G1SZ27
G1TWP7 G1T3G4
G1SR16 G1U951
G1T1I5 G1SSB5
U3KPC0 G1SNG2
U3KPJ9 U3KPJ9
G1SY31 G1SY31
U3KP40 G1SI76
G1SJJ7 G1TUU4
G1T6M1 G1T290
G1T0M2 G1SWH1
G1TCY4 G1T183
G1SXC4 G1TYY4
G1T3U1 G1T3U1
G1T2E9 G1SGB8
G1T617 G1T617
G1SXH1 G1TE86
G1TUK7 G1TUK7
G1SWF2 G1SJQ0
G1SDJ4 G1TBA2
G1SZU6 F8T9Y2
G1T9P1 G1TT17
G1SZU6 G1TWZ5
B7NZ98 G1TQ88
G1T391 G1T391
G1SMH6 G1SMH6
G1TTE3 G1T9L4
G1T0T0 U3KNF5
U3KPJ5 U3KPJ5
G1STS5 G1T5E0
G1SGM5 G1SGM5
G1SML5 G1T2G4
G1SMG3 G1SMG3
G1TET8 G1TET8
G1T2F6 G1TBP5
G1SQL1 G1SQL1
G1SVH8 G1TW92
G1SNL8 G1SJF6
G1T1S9 G1T1S9
G1SN08 U3KLV2
G1U479 G1U479
G1TQR8 G1TDZ0
G1T1R6 G1T1R6
G1SK75 G1U7J4
G1TLQ8 G1TLQ8
G1TEG1 G1TEG1
G1TZP9 G1TZP9
G1TBD7 G1TH27
G1TVP2 G1SZX4
G1TB15 G1TLH1
G1TVV9 G1TVV9
G1THQ3 G1THQ3
G1SL84 G1SL84
G1SQE3 G1T961
G1TP57 G1TP57
G1SYK9 G1SYK9
G1STR3 G1STR3
G1TXD0 G1SLP7
G1U0E3 G1U0E3
G1T481 G1T481
G1SPY5 G1T8T9
G1SL48 B7NZG8
G1U9M4 G1U9M4
G1SI12 G1SI12
G1SVP9 G1SY12
G1SDH4 G1SPV8
G1U3D6 G1SMB6
G1TC00 O79428
G1TSN6 G1TSN6
G1SGA5 G1SCH7
G1T1X7 G1T1X7
G1T0U6 G1TJM6
G1TGB4 G1TGB4
G1SXK0 G1SV23
G1SWG3 G1SWG3
G1TVQ4 G1SZI6
G1SQ61 G1SQ61
G1U7J4 G1T831
G1TEZ6 G1TEZ6
G1TQR0 G1TNT7
G1T637 G1T831
G1TAI8 G1TAI8
G1TBF2 G1T9C7
G1SMA9 G1SIP1
A0A075B6E1 G1SGA5
G1T831 G1T637
G1TAW0 G1TC50
G1TIT3 G1TIT3
G1SZU6 G1U9T4
G1TIA7 G1SM54
G1TWS7 G1SJN8
G1TTN2 G1TTN2
G1SNR3 G1TF92
G1TSG1 G1TSG1
G1TF92 U3KP86
G1TCX4 G1TCX4
G1T9C8 G1SLL5
G1TJC1 G1TJC1
G1TRM6 G1U1T5
G1SIG6 G1T987
G1TI55 G1TI55
G1TRI5 G1TRI5
G1TQR8 G1STA4
G1U0D9 G1SIF0
G1SDQ3 G1TF98
G1TPK4 G1TPK4
G1TW82 G1SUT3
G1U329 G1U329
G1SNL3 G1SUF5
G1SPW9 G1T7S4
G1SUQ1 G1SUQ1
G1TCM0 G1TDI6
G1T1M1 G1TJP5
G1SRA2 G1SRA2
G1U9D8 G1U9D8
G1TAZ8 G1SN13
G1T4R6 G1TDN6
G1U5W6 G1TA38
G1U3X1 G1U3X1
G1TEL4 G1TEL4
G1T1B9 G1T160
G1SNG2 G1U6M3
G1SSQ6 G1SWF0
G1TH16 B7NZ98
G1U6B1 G1U6B1
G1SFY9 G1SFY9
G1SMD5 G1SMD5
G1TDU6 G1T3G7
G1TYY4 G1SXC4
G1TCB3 G1SSG7
G1SW80 G1TBS9
G1TQR8 G1SLR2
G1TAU2 G1SLH6
G1TRU2 G1TRU2
G1SUC1 G1TDZ0
G1U056 G1SPJ4
U3KLV2 G1T7I4
G1SGF6 G1SDT8
G1TJ58 G1TJ58
G1SLL5 G1T4L6
G1U0U5 G1U0U5
G1T4W1 G1SME0
G1TCS0 G1TCS0
G1SCU4 G1SX65
G1SJM9 G1SJM9
G1T5N0 G1TBL3
G1U2N6 G1U2N6
G1SHG9 G1TAW6
G1U1Z6 G1U1Z6
U3KN79 G1SYK9
G1SER2 G1SER2
G1TD50 G1T952
G1SUC1 G1SUC1
G1T364 G1T364
G1SXW6 G1T2W4
G1TVP2 G1T3N0
G1T7I2 G1T7I2
G1SFR8 G1SFR8
G1TP14 G1TP14
G1TS73 G1TS73
G1SXG4 G1SXG4
G1SMI6 G1T1U7
G1T851 G1T759
G1T6C6 G1SMR4
G1SGT9 G1SGT9
G1SL58 B7NZ99
G1SRI0 G1SYX6
G1SP50 G1SP50
G1TC00 G1TK87
G1SJS9 G1SJS9
G1SJT0 G1SJT0
G1T8T9 G1SVU4
G1TB02 G1TB02
G1SSB5 G1SD50
G1SLK3 G1SGH9
G1TDG6 G1TDG6
G1TLH0 G1T5K0
G1TFG4 G1TFG4
G1T851 G1TBL2
G1SJD0 G1SNN0
G1SQ79 G1TIB7
G1SCN1 G1TEQ3
G1SSI3 G1SSI3
G1SFK3 G1SFK3
G1TBX3 G1SUW3
G1TVJ9 G1TBG4
G1STX8 G1T3H2
G1SPJ1 G1SWH6
G1SYS8 G1SDU1
G1T1Z2 G1SCF8
U3KM44 G1TEP8
G1SP33 G1SQ45
G1TH61 G1TH61
G1T7S0 G1T7S0
G1SW49 G1SH58
G1TFT7 G1SLB8
G1T854 G1T854
G1SFB2 G1SFB2
G1SEX1 G1SZ88
G1SID0 G1T6G1
G1SWZ4 G1SYK5
G1SQT1 G1TDU3
G1U8W9 G1TCB3
G1SFR0 G1U9F5
G1SZR0 G1SZR0
G1U6B1 U3KNL1
G1TA41 G1SZ83
G1U5M7 G1SE61
U3KM15 G1TED0
G1SRK1 G1SRK1
G1SYS0 G1SIZ6
G1SMS1 G1SMS1
G1SS04 G1TRM6
G1SP33 G1SP33
G1SMM6 G1SMM6
G1T972 G1T9L4
G1U8W9 G1SU62
G1SH35 G1T816
G1TU32 G1SDZ9
G1T5P4 G1T5P4
G1T680 G1T680
G1TQR8 G1SLP7
O79428 G1T474
G1T6K6 G1SHG9
G1T961 G1T961
G1SK51 G1SK51
G1SN35 U3KNN8
G1T6Y1 G1SGL0
G1T800 G1U329
G1U3G0 G1U3G0
G1U056 G1STR5
G1THI7 G1SN41
P63150 G1SVD5
G1STG2 G1STG2
G1SP02 G1TAB9
G1SI34 G1SPF6
G1SIV7 G1SIV7
G1TMG7 G1SKG8
G1SZI6 G1SZI6
G1T435 G1SMM8
G1TAK6 G1SFL6
G1TLF8 G1T0T5
G1SLK9 G1SZZ8
G1T0U9 G1SEE7
G1T532 G1TDZ0
G1SNC2 G1T622
G1TA82 G1SNU3
G1TGC0 G1T0X6
G1SMV4 G1SMV4
G1SN43 G1SN43
G1TJZ7 G1TJZ7
G1TBR6 G1TBR6
G1SNJ5 G1SNJ5
G1SGF5 G1SGF5
G1SCP0 G1SCP0
G1SKG9 G1SKG9
G1TVM9 G1U3D6
G1SGF6 G1SLB3
G1U4I4 G1U4I4
G1T5Y2 G1T0B4
G1TZY7 G1TDI6
G1T213 G1STC5
G1SW71 G1SJA6
U3KNW2 U3KPC0
G1SE67 G1SE67
G1TLL7 G1TWN5
G1SUR6 G1TQL0
G1U5L3 G1SLC0
G1SJD7 G1TSY6
G1TEU7 G1TEU7
G1SJD5 G1SJD5
G1T805 G1T805
G1SQZ3 G1SQZ3
G1SNL7 G1SXH1
G1SRN5 G1SLD8
G1SFC4 G1ST33
G1SW07 G1SCV5
G1U6F4 G1U6F4
G1SRA5 G1SIW7
G1SDL5 G1TB42
G1TDE9 G1U613
G1TDE9 G1SXS0
G1SDJ3 G1TMT0
G1SVC4 G1SZ82
G1TK87 G1TC00
G1T0T5 G1SGX2
G1SH58 G1TLL7
G1SRA9 G1SRA9
G1TLQ8 G1SRD1
G1T2G4 G1T2G4
G1T2W4 G1T987
G1T230 G1T230
O79428 G1U4W1
G1TAB0 G1TC00
U3KP81 U3KP81
G1TB23 G1TB23
G1TDA7 G1TDA7
G1TDG0 G1TDG0
G1SZD6 G1SZD6
G1T5K2 G1TSJ2
G1SNG2 U3KPC0
G1STQ7 G1STQ7
G1SHC6 G1SHC6
U3KNF5 G1U0Q1
G1TAB9 G1U6D0
G1T1J5 G1U886
G1T0Q8 G1SDH9
G1SLR2 G1T9C5
G1TLQ8 G1T3S1
G1TV39 G1TDE9
G1TZ24 G1TZ24
G1TBA4 G1TBA4
G1TAN3 G1TAN3
G1SFH6 G1SFH6
G1TV80 G1TV80
G1SR83 G1SF19
G1TD26 G1THH7
G1T926 G1T926
G1SS04 G1SSE9
G1SDF7 G1SDF7
G1T5E0 G1SYC7
G1SCJ2 G1SCJ2
G1SJF6 G1U084
G1SYV8 G1SQE3
G1U2B5 G1SH94
G1U976 G1U9T4
G1TF98 G1SSP4
G1T4Y0 G1T6G1
G1SNN0 G1TVP2
G1SUC1 G1T9C5
G1ST07 G1SS04
G1T5S3 G1SXS0
G1T622 G1SNC2
G1TVY8 G1SDP7
G1U8W9 G1SQU2
U3KN87 U3KN87
G1SIA1 G1T622
G1T577 G1T577
G1TGK9 G1TGK9
G1TRU2 G1THZ4
G1SEW1 G1SEW1
G1SY70 G1SMI6
P40826 P40826
G1TW97 G1TW97
G1SR24 G1SR24
G1T9P1 U3KMA9
G1SZD5 G1SZD5
G1SS51 G1SS51
G1SSB5 G1SSB5
G1T622 G1SYG6
G1T5H5 G1T5H5
G1T501 G1T501
G1T1M1 G1T1M1
G1U2I4 G1U2I4
G1TGN6 G1SS13
G1T9S4 G1T9S4
G1SHG8 G1SXT9
G1T5K0 G1T5K0
G1SFL0 G1SDC8
G1SNC0 G1SNC0
G1TM63 G1SM78
G1T4B6 G1T4B6
G1TK87 O79428
G1SSV2 G1SSV2
G1T460 G1T460
G1SXS0 G1SXS0
G1TV39 G1TEZ6
G1TBA5 G1TBA5
G1SZW8 P40826
G1T991 G1T991
G1T2Q2 G1T2Q2
G1TTD4 G1SEY4
G1TC91 G1TC91
G1SNU6 G1TBD7
U3KN85 U3KN85
G1U0Q1 G1TFM7
G1T4R0 G1SVQ9
G1T1F7 G1U479
G1T532 G1SLR2
G1SHK6 G1SRR6
G1SU45 G1T234
G1SV95 G1SV95
P35953 P35953
G1SPC4 G1SRI0
G1SQ70 G1SSY0
G1TKY0 G1TAQ1
G1T1I0 G1SW71
G1SW71 G1TFT7
G1T3N0 G1TDH6
G1U5I9 G1T6K6
G1SLD3 G1SLD3
G1T5E0 G1SJN8
G1SIY2 G1SIY2
G1T7N6 G1T7N6
G1TXB6 G1TXB6
G1SGL0 G1THN0
G1TDZ0 G1T9C5
G1SJK0 G1SJK0
G1TBX1 G1TBX1
G1SWE9 G1SWE9
G1TD36 G1TD36
G1T3H2 G1SV59
G1TQ88 G1THN0
G1T8T9 G1SZX4
G1TEF7 G1T961
G1SCZ0 G1SCZ0
G1SFF7 G1SFF7
G1T854 G1SCJ2
G1SFD2 G1SFD2
G1U985 G1U985
G1SGD6 G1SGD6
G1SI19 G1SFC4
G1STW6 G1STW6
G1TCS7 G1TCS7
G1U1X6 G1TUX8
G1SFL6 G1TAK6
G1SLU0 G1TAL0
G1TGN6 G1TGN6
G1SDS3 G1T6K7
G1T812 G1SRE9
G1SLP7 G1T8T0
G1SIV6 G1SIE9
G1SNG2 G1SNG2
G1SLH6 G1U3Y4
G1SPB2 G1TCZ1
G1SQU6 G1SQU6
G1TQ49 G1TQ49
G1SZ54 G1TLT3
G1TAP1 G1T0T3
G1TGD9 G1TGD9
G1TJI5 G1T3G4
G1T3I1 G1T3I1
G1T7C1 G1TFR5
G1SLD8 G1SRN5
G1U7B5 G1T793
G1SUF5 G1SUF5
G1SP02 G1T120
G1TAW3 G1TAW3
G1SXG4 G1T7X4
G1SCM1 G1U537
G1SKT0 G1SKT0
G1SVI0 G1SQT1
G1SY48 G1SY48
G1U7J4 G1U7J4
G1TBJ3 G1SMM6
G1SR72 G1T1Z2
G1SZK4 G1SZK4
G1T8T9 G1T3N0
G1TVJ1 G1TVJ1
G1SXM6 G1SXM6
G1TXL5 G1SI70
G1SSW2 G1TAT4
G1SU33 G1SU33
G1SQ07 G1SNU4
G1SEV3 U3KM50
G1SXK9 G1SUF3
G1T3Z5 G1T6K6
G1U235 G1TD30
G1SZX4 G1SVU4
G1TCC5 G1SPZ3
G1TCU0 G1TCU0
G1TFJ0 G1TFJ0
G1SEQ2 G1T0T5
U3KM54 U3KM54
U3KMU7 G1SCF4
G1SPG8 G1T8A7
G1SFL9 G1TP41
G1SIP4 G1SGN8
G1T1T3 G1T1T3
G1SCM9 G1SCM9
G1T4Q0 G1SLH6
G1T675 G1T675
G1T6Z5 G1U9D8
G1SFB6 G1SFB6
G1SGH9 G1SJB8
G1SJ43 G1SRF5
G1SQZ6 G1SQZ6
G1T281 G1T281
G1TUT8 G1TUT8
G1TAT4 G1TAT4
G1TFT7 G1TFT7
G1TBY5 G1T9L6
G1TGX3 G1TVJ9
G1U2B5 G1SKT1
G1SP64 G1SP64
G1T1B1 G1T1B1
B8RHI7 G1SXC3
G1TC00 G1SW49
G1TQH3 G1TQH3
G1T240 G1T240
G1SS80 G1T6A7
G1SD18 G1U7L3
G1T7Y7 G1T7Y7
G1TG54 G1TG54
G1T7C6 G1T7C6
G1SSX2 G1SSX2
G1SJ44 G1SJ44
G1SE45 G1U8R7
B7NZM8 B7NZM8
G1SH55 G1SH55
G1STM7 G1SL72
G1SYM2 G1SYM2
G1SVN0 G1SVN0
G1SWH1 G1SWH1
G1SSN0 G1SNG3
G1T589 G1T589
G1TRS1 G1TRS1
G1TER1 G1TER1
G1T9M2 G1T9M2
G1T7S5 G1T4R1
G1TBE7 G1TBE7
G1SPV2 G1SPV2
U3KNG9 G1T5G0
G1SN38 G1SN38
G1SRK5 G1STR5
B6A7Q7 G1T0G6
G1SIC8 G1SIC8
G1T3G0 G1SDP4
G1T3B1 G1TT17
G1SF97 G1SF97
G1TLL7 G1U4W1
G1SJI1 G1SVT3
G1TW97 G1TY74
G1U7F5 G1SRY1
G1T234 G1T234
G1SPP5 G1TDU3
G1SH91 G1SH91
G1SYK9 G1TBG9
G1TAM2 G1TAM2
G1TNP4 G1SH91
G1T1M6 G1U7M7
G1TBF6 G1SJ14
G1T5U1 G1ST93
G1U6W0 G1U6W0
G1SXS0 G1T4W1
G1T884 G1T884
G1TIB7 G1SQ79
G1SG50 G1SCN6
G1T0Z1 G1SY99
U3KNF2 U3KNF2
G1T7V9 G1SVH2
G1SXC4 G1SJA6
G1SIX6 G1SIX6
G1SW49 G1TC00
G1T696 G1T696
G1TBG9 U3KN79
A0A075B6E1 G1TAS4
G1SNG2 U3KNW2
G1SJX6 G1SJX6
G1SFE7 G1SFE7
G1T7I4 G1SN08
G1TPD0 G1TPD0
G1SUJ9 G1SMN9
G1SCQ3 G1T9M2
G1TB02 G1STT4
G1SIZ0 G1SGF6
G1SLQ8 G1SQF8
G1SUC1 G1SLR2
B6A7Q7 G1U056
G1TU10 G1TU10
G1TC63 G1SXW6
G1TB45 G1STQ3
O19049 O19049
G1SRY1 G1U7F5
G1SER4 G1SER4
G1U862 G1U862
G1T1R4 G1T1R4
G1SRI2 G1SMT2
G1TRN0 G1TRN0
G1SPA6 G1TME5
G1U2V2 G1SD96
G1SLD7 G1SP33
G1SLH2 G1SXM6
G1SDK0 G1SCG9
G1T5E0 G1SCJ4
G1U0K4 G1U0K4
G1SFE4 G1SFE4
G1T2W4 G1SYR1
G1SRB5 G1SYG7
G1T2N5 G1SQJ2
G1SNZ3 G1SNZ3
G1TC84 G1U3D4
G1ST83 G1T0H6
G1T9F9 G1T9F9
G1U913 G1SNJ2
G1TLF8 G1SEQ2
G1TG03 G1TG03
G1SRI5 G1SRI5
G1SX39 G1SX39
G1SDN2 Q7JFH1
G1TDE6 G1T4J8
G1SZ27 G1SGB8
G1STT4 G1STT4
G1T5L7 G1U084
G1SQX8 G1STI2
G1TTD9 G1TYN9
G1T0M2 G1T057
U3KNL1 U3KN27
G1T4L6 G1T9C8
G1TGJ6 G1TGJ6
G1SKS3 G1SKS3
G1SRD1 G1SRD1
G1SSR3 G1U840
G1TAB0 G1TLL7
G1T165 G1SVQ9
G1T5M9 G1TK36
G1TE39 G1SI19
G1SP53 G1SP53
G1TZT1 G1SDZ9
G1TDE9 G1T4W1
G1U3W2 G1U3W2
G1SFB4 G1TK36
O79432 G1SZG0
G1STB8 G1STB8
G1T573 G1SDH4
G1SKG8 G1SKG8
U3KN79 G1TBG9
G1T023 G1TXV2
G1SRK5 G1T3K5
B7NZ87 G1SX65
G1U4N0 G1TE00
G1SJB6 G1SJB6
G1T471 G1TBF6
G1T6T8 G1SXH2
G1U810 G1U810
G1TJI5 G1SLB8
G1T368 G1T368
G1SST5 G1SST5
G1U4W8 G1U4W8
G1TPI6 G1TPI6
G1SW67 G1SW67
G1SQU2 G1T6K6
G1U913 G1T6Y4
G1T1T9 G1U699
G1STP4 G1TAR1
G1TG99 G1TG99
G1SH53 G1SH53
G1U2L4 G1SS95
G1TA58 U3KP59
G1SR83 G1TES1
G1SGB8 G1T2E9
G1SSR3 G1T5Y2
G1TCS5 G1TCS5
G1TED0 G1SHS9
G1SFB4 G1SFB4
G1T0Z1 G1TF92
G1SZ67 G1SZ67
G1U976 G1SZU6
G1SU49 G1SU49
G1T0K7 G1T0K7
G1TRU3 G1TRU3
G1SSF6 G1SSF6
G1TB68 G1TB68
Q9TRZ5 G1TUL9
G1SM67 G1SM67
G1U3D4 G1TC70
G1T1N4 G1T690
G1U8Q6 G1SQM3
G1SS51 G1SWG7
G1SMR4 G1U9F5
G1TEJ5 G1T4P4
G1TWS0 G1TWS0
G1U0U5 G1TKC4
G1U152 G1U6D0
G1T166 G1T166
G1SXW6 G1T793
G1ST26 G1ST26
G1TRY0 G1TRY0
G1SHG9 G1T3Z5
G1SWX6 G1TLU0
G1SVI7 U3KNV0
G1U3C6 G1SNM8
G1TSX0 G1T554
G1SRJ8 G1T8Z2
G1SMG3 G1T9C8
G1TAD2 G1TAD2
G1STZ3 G1STZ3
G1SP18 U3KPC0
G1T328 G1TAU2
G1TCZ8 G1TCZ8
G1SZ51 G1T9L4
G1SH28 G1SH28
G1TLW3 G1TLW3
G1TH16 G1TYQ2
G1SPB2 G1SPB2
G1TE66 G1T876
G1SP18 G1SIH4
G1U7U4 G1U7U4
G1T6Y1 G1SEP0
G1U0Y2 G1U8B5
G1SNV8 G1SRA8
G1SIF0 G1SRA8
G1SV02 G1SYF0
G1TZT1 G1TZT1
G1U1E5 G1U1E5
G1U0Z1 G1SRU6
G1T9I0 G1U9F5
G1T9L6 G1T7W7
G1SNQ2 G1SNQ2
G1SNG2 G1SU74
G1T4W1 G1U613
G1TU15 G1TU15
G1SRK5 G1T981
G1SKZ3 G1SKZ3
G1T2B3 G1T2B3
G1SXG1 G1SXG1
G1TDQ5 G1TDQ5
G1SXT9 G1SHG8
G1SK75 G1TZL2
G1T0C2 G1THH7
G1TG71 G1T7L6
G1T6G1 G1T4Y0
G1SP41 G1SL80
G1U8J6 G1U7F5
G1T690 G1TBL3
G1TB15 G1TB15
G1U4E2 G1T6Z5
G1SIH0 G1SIH0
G1TCM0 G1SL22
G1TJI5 G1TWP7
G1T0T5 G1TFY8
G1T6L7 G1SQ02
G1SDW5 G1SLK9
G1SHJ5 G1SHJ5
G1U2Z5 G1TJP5
G1U7B5 G1T2W4
G1SDC8 G1SDC8
U3KNL1 G1TGN6
G1TIU6 G1TIU6
G1TWZ5 G1U9T4
G1SQM3 G1SQM3
U3KNP2 G1U197
G1TWP7 G1SLB8
G1T9G1 G1TX19
G1SH24 G1SH24
G1SI76 G1SI76
G1SN29 G1SLX6
G1TQD1 G1TQD1
G1SV30 G1SIV6
G1T590 G1TUJ5
G1SY12 G1TP80
G1SUX3 G1U4Q6
U3KPC0 U3KNW2
G1SVT4 G1SVT4
G1SCF4 G1SCF4
G1SYX6 G1SPC4
G1U030 G1TJS3
G1T961 G1SYV8
G1SEG0 G1SEG0
G1U7K3 G1U7K3
G1TMB8 G1TMB8
G1TBL2 G1T759
G1U5L3 G1STQ3
G1TJQ0 G1SFL9
G1TCA0 G1TCA0
G1T8B8 G1SZS3
G1T786 G1T603
G1TLU0 G1T6Y8
U3KN79 G1SN38
G1SW40 G1T7M5
U3KNT7 U3KNT7
G1SI62 G1SI62
G1T961 G1T5M9
G1T4R3 G1T4R3
G1T876 G1TE66
G1SSA2 G1SSA2
G1T3C2 G1SDN2
P00518 P00518
G1SHS9 G1TB83
G1U033 G1U750
G1SEC7 G1SEC7
G1SNL8 G1SNF7
G1U819 G1SLU0
G1U1T5 G1TRM6
G1TWX8 G1SP71
G1TID3 G1STP3
G1SCV5 G1SCV5
G1STR5 G1STR5
G1T485 G1U287
G1SWA8 G1SWA8
G1T9P1 G1T7W0
G1TU47 G1U8L6
G1SDL8 G1SDN2
G1SQZ6 G1TY79
G1TCT4 G1TCT4
G1SKU8 G1SKU8
G1SUY2 G1SUY2
G1SUN2 G1SUN2
G1T0U4 G1T0U4
G1T1N6 G1T1N6
G1SJZ9 G1SJZ9
G1SEE7 G1SEE7
G1TQC0 G1TQC0
G1U3J8 G1U3J8
G1TV14 G1U9T4
G1T6Z9 G1T6Z9
G1U018 G1T0B4
G1SYM0 G1SYM0
