4332 P04637,P0DI82,P05067,P04629,P00533,P06733,P05412,Q15717 P04637,P0DI82,P05067,P04629,P00533,P06733,P05412,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4199 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717 P04629,P04637,P54274,Q14258,Q8N431,P05412,P38398,Q15717
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,Q01968,Q14258,O14662,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,Q01968,Q14258,O14662,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,Q01968,Q14258,O14662,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,Q01968,Q14258,O14662,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,Q9NZD2,Q14258,Q8TBC3,P05412,Q15717,P05067 P00533,P04637,Q9NZD2,Q14258,Q8TBC3,P05412,Q15717,P05067
4167 P00533,P04637,Q9NZD2,Q14258,Q8TBC3,P05412,Q15717,P05067 P00533,P04637,Q01968,Q14258,O14662,P05412,Q15717,P05067
4167 P00533,P04637,Q9NZD2,Q14258,Q8TBC3,P05412,Q15717,P05067 P00533,P04637,Q13616,Q14258,Q8WTV0,P05412,Q15717,P05067
4167 P00533,P04637,Q01968,Q14258,O14662,P05412,Q15717,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,Q01968,Q14258,O14662,P05412,Q15717,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,Q01968,Q14258,O14662,P05412,Q15717,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,Q01968,Q14258,O14662,P05412,Q15717,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,Q01968,Q14258,O14662,P05412,Q15717,P05067 P00533,P04637,Q9NZD2,Q14258,Q8TBC3,P05412,Q15717,P05067
4167 P00533,P04637,Q01968,Q14258,O14662,P05412,Q15717,P05067 P00533,P04637,Q01968,Q14258,O14662,P05412,Q15717,P05067
4167 P00533,P04637,Q01968,Q14258,O14662,P05412,Q15717,P05067 P00533,P04637,Q13616,Q14258,Q8WTV0,P05412,Q15717,P05067
4167 P00533,P04637,Q01968,Q14258,O14662,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,Q01968,Q14258,O14662,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,Q01968,Q14258,O14662,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,Q01968,Q14258,O14662,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,Q01968,Q14258,O14662,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,Q01968,Q14258,O14662,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,Q13616,Q14258,Q8WTV0,P05412,Q15717,P05067 P00533,P04637,Q9NZD2,Q14258,Q8TBC3,P05412,Q15717,P05067
4167 P00533,P04637,Q13616,Q14258,Q8WTV0,P05412,Q15717,P05067 P00533,P04637,Q01968,Q14258,O14662,P05412,Q15717,P05067
4167 P00533,P04637,Q13616,Q14258,Q8WTV0,P05412,Q15717,P05067 P00533,P04637,Q13616,Q14258,Q8WTV0,P05412,Q15717,P05067
4167 P00533,P04637,Q13616,Q14258,Q8WTV0,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,Q13616,Q14258,Q8WTV0,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,Q13616,Q14258,Q8WTV0,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,Q13616,Q14258,Q8WTV0,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,Q13616,Q14258,Q8WTV0,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,Q13616,Q14258,Q8WTV0,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,Q01968,Q14258,O14662,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,Q13616,Q14258,Q8WTV0,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,Q01968,Q14258,O14662,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,Q13616,Q14258,Q8WTV0,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,Q01968,Q14258,O14662,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,Q13616,Q14258,Q8WTV0,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,P54274,Q14258,Q8N431,P05412,P38398,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,Q01968,Q14258,O14662,P05412,Q15717,P05067
4167 P00533,P04637,P00441,Q14258,O00244,P05412,Q15717,P05067 P00533,P04637,Q13616,Q14258,Q8WTV0,P05412,Q15717,P05067
