D3ZBY5 K9IVV5
P12841 F1SQT2
F1LSA1 F1SAQ6
Q5PQL2 A0A287AJ61
F1LRC6 I3LIB1
Q5FVC2 F1SEX5
G3V8D5 A0A286ZRM8
F1LP04 Q2EN79
Q3B7L1 F1S5D3
D3ZXX3 A0A287BPP8
Q5U313 F2Z5N6
O35552 A0A287AT90
A0A0G2KBA2 I3LKI5
F1LWM1 A0A287A5I0
P11505 A0A286ZRN9
D3ZVM4 Q2EN79
B2RYW8 A0A287B749
G3V928 F1SNE5
Q5BJS0 A0A287BL20
A0JPN1 A0A286ZYH6
P38983 A0A287AWN6
A0A096MIY3 A0A286ZR64
A0A0G2K5H7 F1SAM0
D3ZCS4 A0A287A9Y2
Q9WTT7 A0A287B726
A0A0G2JSZ1 F1RP69
A0A096MK76 A0A286ZUN2
D3ZUJ5 F1SNY1
D3ZFY0 A0A287AN25
Q63364 A0A286ZQP7
P49000 I3LDM6
Q6TQE1 A0PFK5
B1H282 A0A287AXP9
Q5PQL2 A0A287BJH4
F1LR76 I3LSJ5
D3Z8L5 F1SNG6
D3ZNQ6 A0A287AXQ4
M0R711 A5GFU7
F1LM09 F1SJ69
Q64620 A0A287AJ61
Q5XIN4 F1SBF0
O35552 A0A286ZZW4
Q10739 I3LEE9
D3ZN76 A0A286ZU72
D3ZDG0 F1RV56
M0R7R2 A0A287B443
Q62867 A0A287A3U2
G3V7A4 F1SG80
F1LXF5 A0A287BFY7
E9PTI6 F1SSL4
F1M6V1 F1SU06
D3ZQM0 F1ST49
Q6AY57 I3LDL4
F1MAM1 A0A287B443
O08623 F1RUP2
D3ZS29 A0A287B2L2
D3Z8G7 F1S7Q6
M0RAC2 A0A286ZY83
B2RZD6 A0A287AR18
F7EKI5 F1RF61
Q498N4 F1SIA4
Q62785 I6L6T2
Q9ER24 K7GK90
A0A0H2UHA6 F1RPH0
Q5PQX1 A0A287B642
F1MAK3 A0A287A6E8
E9PTS7 F1SAM0
Q641Y8 I3LG73
D4A2B7 F1RUA0
Q6P3V8 F1SKI5
Q6AXT8 M3VK32
D3ZCS4 A0A286ZT34
A0A0G2JYD0 A0A287AHL5
B2RZD6 F1RVY7
Q6IMY8 A0A287A6N8
D3ZMY7 A0A286ZLT0
D4A9W0 A0A286ZYH6
D3ZBY5 F1SHV8
G3V6D8 I3L592
Q5I0E7 F1SRK8
D4A206 F1SIA4
G3V8M5 F1RUL1
P85108 A0A287AFZ3
D3ZE01 F1SLB6
Q6IFW6 I3LDS3
P53987 A0A287B3H4
A0A0G2K3H5 A0A286ZS52
Q5D006 I3LPV8
A0A140TAH3 F1SP38
D3ZMY7 A0A287B540
V9GZ88 D0G6X4
A0A0H2UI20 A0A287A688
Q5U313 A0A287AJJ6
A0JPP6 A0A286ZSJ2
Q9ER24 F1SGG3
D3ZDI4 F1SL75
O70521 F1SDX4
D3ZE01 F1SD90
A0A0G2K3H5 I3LA84
D4A5U3 F1S5D3
F7ESD4 F1RZA6
Q56A27 F1RUA0
A0A0G2K5H7 A0A287A3U2
Q62785 Q767K6
Q5D006 F1S3E0
D3ZT51 F1ST67
D4A7D3 A0A286ZZ23
D4A857 A0A287AQR4
D3ZDG0 I3LVL0
D4A5U3 F1SLB6
Q9WUS0 F1RP69
M0R7R2 A0A287B4V5
G3V9Q4 F1SAY9
P43138 F1RJ01
F1MAF2 A0A287AHC7
D3ZTT7 I3LC25
Q5PQL2 A0A287ARA4
B2RYW8 A0A286ZIJ9
A0A0G2K8Q8 A0A287AF83
P25977 A0A286ZWP6
A0A0H2UI20 F1RT53
Q3MHS9 F1SH97
F1LXF5 A0A287BPQ1
A0A0G2JSQ6 M3VK28
D3ZTG2 F1S403
Q5XIF6 A0A286ZNY1
D3ZAB6 F1RUL1
A0A0G2JSZ1 A0A287B4P7
Q6IMY8 F1RUA0
A0A0G2JSJ5 A0A286ZK26
O88989 F1SU46
M0RB65 A0A287BBE4
F7FNS3 K7GNK7
A0A0G2K5E7 K9IVV5
A0A0G2K612 I3LTD6
P38983 A0A287BFY7
D3ZER6 I3LEZ7
B2GV58 F1SUT8
A0A0G2K075 A0A287ABT2
M0R8E8 D0G6X4
F1LQS1 I3LA84
Q6MG13 A0A287BQ14
D3ZXF8 D7RA31
Q6AXY9 F1SBW5
D3ZZC1 A0A287ARU6
Q6AXQ0 A0A287ATD3
F1LZW6 A0A287B2B4
D3ZE91 F1RJU1
A0A140TA98 F1SH97
E9PSY8 R4JU57
D3ZUJ5 A0A287AF83
D4ABC4 A0A287A3U2
A0A096MK76 F1S360
Q5M808 A0A287B443
F1MAL5 F1SUT8
D3ZTG2 D0G0C6
O35552 A0A286ZK26
Q91ZN7 A0A287AFM0
G3V8D5 F1S5K9
O70509 F1S475
Q64620 A0A287B642
A0A0G2K1V9 F1RXE4
Q3B7L1 A0A287A3U2
M0RBF8 F1SNG6
D3ZXL5 A0A286ZWR0
F1LWM1 I3LNG8
G3V9Q4 F1S057
Q91ZN7 A0A287A9Y2
F1LQS1 F1RKZ6
D4ABC4 A0A286ZQE2
Q5BK32 A0A286ZMY6
D3ZVM4 A0A287ACM5
D3ZZ95 A0A287BBE4
Q811S9 A0A287AXP9
D4A5U3 A0A287A3U2
Q6P9X1 A0A286ZRN9
A0A0G2JST3 A0A287BHY5
O35092 A0A287BNY8
Q924S5 A0A286ZRN9
Q62785 A0A287BQ14
Q5I0E7 F1S488
D4A206 F8T0U2
D3ZZN9 F1S7Q6
A0A096MIX2 A0A286ZLI8
A0A0H2UHA6 A0A287BES3
P70541 F1S1F6
A0A0G2KBA2 F1SAI5
D3ZZW2 F1SIG5
Q6P7A7 F2Z5F3
F1LP66 F1RMN5
E9PTF3 I3LBB2
D3ZUD8 A0A287A5I0
B1H269 A0A287BFY7
G3V9L3 I3LCX3
A0A0G2JST3 I3LCM4
F7FNS3 A0A286ZNK2
D3ZCS4 A0A287BJH4
D3ZE01 I3LCP8
Q6AZ64 A0A287BGG6
Q569D2 A0A287B2K5
P18864 A0A287B1W2
F1LSA1 F1SHF6
Q6IRE4 I3LEQ7
A0A0G2K9S3 A0A287B5J4
F1LWM1 A0A286ZK26
Q5RK09 I3LI05
Q5U367 I3LA84
G3V877 F1S360
A0A0G2K612 Q864V7
E9PTR3 A0A286ZN42
D3Z8L5 F1SPZ4
G3V877 K7GR08
Q64232 A0A287B9V7
Q9WTT7 A0A287B642
A0A0G2K3H5 F1RKZ6
B0BN82 A0A287AYD9
Q4KM87 A0A287BL20
G3V815 E7CXS0
Q5D006 F1S395
A0A0G2JSU9 A0A286ZZW4
G3V7M0 F1SKI5
Q56R17 A0A287BNE4
D3ZSX6 A0A286ZP69
F1LSA1 A0A286ZP43
A0A0G2KA90 A0A286ZMB2
Q3ZAU5 F1RRK1
F1MAL5 R4JU57
B2RZC6 K7GS49
A0A0A0MY07 F1RQY4
F1LW16 I3L7T4
B2GV58 A0A286ZT34
Q56A27 A0A287A6N8
