Q9CPP0 Q6PAC3
B1AZR0 B1AZR0
P56479 O88854
Q8VDD5 Q8VDD5
Q99MH5 Q99MH5
Q8R4F1 Q8R4F1
F6VPT9 F6VPT9
Q9CY27 Q91X76
Q6PDX6 Q3TYD6
F6TQN9 F6TQN9
A2ACM0 M0QW59
Q923F1 Q9CQQ7
P56542 Q64151
Q91XQ0 Q8VCM3
O54950 Q7TSH3
Q9CQ52 Q9CQ52
F8VQ72 F8VQ72
Q6PHZ5 O35239
P80313 P80313
Q6P5B0 D3YXQ7
Q8BI08 P59054
P97950 Q6P243
Q9D8Q6 D3YYQ7
Q9WUN2 Q9WUN2
Q61275 Q62486
Q8CEC0 Q8CEC0
Q9D031 Q8BXZ1
B1AZA5 Q64151
Q62559 Q8BGZ1
Q8K119 A0A286YCV9
A8C756 Q91VH2
Q9WTK7 A0A0A6YX89
Q6P4T2 Q6NS46
E9QPI5 A2AKX3
Q60749 Q60749
Q9DB76 Q9DB76
P0DOV1 Q9Z1M2
Q9D0E1 Q9R190
A0A0A6YX89 P21981
A0A0R4J1C5 D3YVH8
Q9JI39 Q3ZK22
Q9Z1E3 Q9Z1E3
Q80X56 E9PYA3
O88444 P63013
Q6ZQ89 Q6ZQ89
Q9WTZ0 Q8CEG5
Q7TPN9 Q8VD00
Q9R0E1 Q9R0E1
E9QN68 E9QN68
P97477 P97477
Q07813 Q00899
Q3UKR0 G3UX50
P23708 Q9WUI1
Q920L5 Q920L5
Q91Z22 Q91Z22
Q641K5 P59110
Q9CQI7 Q7TMG8
A2AUC9 A2AUC9
Q0VGU4 Q8VDP3
Q60771 Q6F5E0
O55070 O55070
Q9JI91 Q8CGB6
Q3U3W2 Q810L4
Q63844 Q63844
A2A863 Q3U1F9
A0A0R4J0I7 H3BJD7
Q8BJU0 Q8BJU0
Q8BZX4 F8WGW3
Q9D023 Q8CGK3
Q99JN2 Q9DBC3
Q62383 Q62383
Q9D1D1 P49650
G3X8V6 Q3UBG2
Q8CEG5 Q9WTZ0
Q9D361 Q9D361
Q61035 Q6PHZ5
Q570Y9 Q9Z131
Q6PAJ3 Q99JP0
E9QM16 Q8BKN5
Q9CPN8 Q9CPN8
Q8BHL6 D3YYQ7
A0A1Y7VLC3 Q8C4X1
O88379 A0A0R4J0E0
Q91VZ5 P09926
P63328 E9Q557
A0A087WRI3 O89098
A6BLY7 Q68EF4
A2APB8 A0A0R4J0R3
Q61738 P49650
Q99ME2 Q99ME2
Q9JI91 P97445
P22682 P22682
Q61330 Q6PEB6
Q60662 Q60662
E9Q3H4 Q52KR2
Q91ZY2 Q99MS7
Q64739 Q64739
H3BKL1 A0A0R4J057
D3YXG0 D3YXG0
O88824 O88824
Q9D1H0 Q9D1H0
F6YG30 Q61152
Q9CZW4 Q9CQU3
Q9D2Y6 A2A5Z6
G5E8N7 P47757
Q8R2N0 D3YYQ7
Q04888 Q04888
Q62559 Q9EPB5
P49183 P97480
H3BJD7 H3BJD7
Q922U1 Q8K2B3
P27790 B2RT41
A2RSY1 Q69ZJ7
Q58Y75 Q9D279
P49650 Q9R100
Q60898 Q60898
Q8C460 Q8C460
P43687 P43687
Q8CGK3 P60605
Q9JIF9 Q8BJW7
Q8BU30 Q9D0R2
Q8K039 Q8K039
Q9D067 P58390
Q9CXJ1 Q922L6
B2RUG9 P83741
Q8BVK9 Q8C5L7
Q9R061 Q9D2C2
Q3TTA7 Q8VD75
Q9D2F7 Q0P5X5
Q9EQF2 Q9EQF2
Q8CGR6 Q8CGR6
P84091 P84091
Q9DCJ7 Q9DCJ7
Q5UAK0 Q8CFN8
F8VQ40 Q9CPY4
A0A0R4J0I4 Q64478
Q7TT18 Q9WVM1
O35609 Q923F1
Q3UHH1 Q5ND34
F8VPV0 A0A1W2P8A6
Q80TF4 A0A286YCV9
Q5NCI0 Q8VI93
A6PWE0 Q61733
F6VXZ2 E9QM77
Q60771 Q9D1D1
P35762 Q61263
Q8VEK2 Q8VEK2
Q8R173 Q9CXU9
Q8R3A2 O54804
Q91YZ5 Q91YZ5
A0A0R4J289 B2RT41
P97318 P97318
Q9WUL8 P58334
Q61572 P70121
Q61878 Q61878
P98191 Q9D1D1
Q61035 G3X9Z4
Q91XQ0 A2A8L1
E9Q1W7 E0CXC6
P54841 P54841
Q9WTP9 E9Q395
Q9D2F7 P58390
P48962 P43275
A3KGS3 F7C846
O89026 O89026
Q7TPR4 Q7TPR4
P35276 P61249
Q8C0E3 F7B7X2
Q5SWP3 Q62556
P68033 P03930
Q8C0Q3 E9Q5L8
Q9CPU7 Q9CPU7
Q9CQI9 Q9CR73
Q8CIH5 Q8CIH5
D6RGA0 Q8C3R1
Q8K2Y0 Q9Z2D0
A0A0R4J0M9 A0A0R4J0M9
O88878 O88878
Q6PDI5 Q6PDI5
P58334 Q9JJG0
A2A6A1 Q62415
O88552 O88552
Q9CXI3 Q9JIG4
Q6VGS5 Q6VGS5
Q99LE6 Q9CRB9
Q9D1D1 E9PXZ3
Q8BWQ4 P0DOV1
P07901 P07901
Q9R1A8 Q9JII5
P97378 P97785
P46735 P46735
Q8BWT5 Q3UHC1
A4QPD3 A4QPD3
Q9JIG4 Q9JIG4
P10639 P10639
Q80YR6 E9PV60
Q14CH1 Q8CFZ4
Q8BGQ1 Q8BGQ1
Q9D416 Q61121
Q8BHT7 Q80SY9
A0A0R4J0K5 A0A0R4J0K5
P52785 P52785
D3YW39 Q3UJZ3
D3YVH8 H3BLF0
Q8BGE5 Q8K2W9
Q91ZY2 Q0P5X5
Q9D706 Q9D706
E9QAB6 Q8BFS8
Q641P0 Q9DBS8
A2A4P0 Q8C5Q4
E9PYA3 Q80ZJ8
B1AXD8 G3X908
Q8K3A2 Q8VCZ3
O89013 Q8BX94
Q61187 Q61187
Q921R8 Q8BKE6
Q9JKL4 Q9JKL4
Q9R061 Q9CQU3
P06240 P06240
Q91W50 Q91W50
Q64669 Q9D8Y8
Q9QZS0 O70477
Q8CEG5 Q9CR73
D3Z3U5 D3Z3U5
Q9D1N9 E9PV60
A0A0R4J1C5 E9QNR8
Q8R173 Q8R173
Q8CGB6 P97445
O35375 B2RSU7
Q62421 Q8BVN8
M0QW59 A2ACM0
Q61069 Q641K5
Q921K9 Q9D300
P11087 P11087
P70191 P11157
Q62381 Q8K353
Q9Z1B8 Q61464
Q9EP64 P38649
Q8K093 Q8K093
Q9EQF2 Q8BGQ1
A2A8Z1 Q8BR07
Q8CB96 O35066
Q6VGS5 G5E8T9
Q3U3V8 P70697
Q09324 Q91ZG2
O70333 O09030
Q8BN82 Q99MQ5
Q9R0U5 O35558
A2RTG9 Q8C341
Q3TTY5 Q3TTY5
P53395 P53395
Q8VEB1 Q8VEB1
Q80U63 Q8BHN1
Q148W0 G3X9F4
P70245 P70245
Q8BU88 A0A0U1RNL9
Q60753 A0A0R4J0D7
Q8BJQ4 Q8BJQ4
Q4QQM5 Q3ZK22
D3Z7P3 Q99JH8
Q91XQ6 P26049
Q91X60 Q91X60
O55082 O55082
Q99NF3 Q99NF3
A2AQ14 A6PWE0
Q5U4H9 Q5U4H9
Q8R4G6 Q8R4G6
P32067 P32067
Q8R3C0 F8VPN4
Q61330 Q3U1F9
P41245 P41245
Q3UZ64 Q9CQL5
Q8VI93 Q5NCI0
E9PYF7 Q1HL35
Q61471 Q9CZY2
A0A286YCN8 Q9DBT5
Q3TGW2 Q3TCV3
A0A286YDD7 E9PUA2
P48453 P48453
Q32NY6 Q5IRJ6
Q9WV72 Q9WV72
Q99PM9 Q3UD01
P31313 Q8R4K8
Q792Z1 A3KGS3
A0A0R4J0I7 A0A0R4J0I7
Q91ZY2 Q9D2F7
A0A0R4J1G3 Q3TBN1
D3YYQ7 Q8BHL6
Q80XU3 A7DTG3
Q8CIB5 P47757
Q7TS68 A2AJW5
Q8CGU1 Q8CGU1
G3X939 A0A0B4J1F0
E9Q2V7 G3UVU5
A0A0N4SUH4 A0A0N4SUH4
P07607 P07607
G3UWB6 Q9D159
Q9CR52 Q9CR52
Q80ZX0 Q7TMQ7
Q8BIG7 P97480
A2AWT3 A2AWT3
Q61035 P59470
Q9CR73 Q9CR73
P09926 P09926
Q9EPB5 Q7TNF0
D3YVH8 D3YVH8
F6U5V1 Q91W82
Q9DBC3 Q8BND3
Q99JN2 F7DDS0
B2RPS7 A0A087WSD0
Q61738 Q61738
Q924K8 A0A0G2JGZ8
P59672 P54369
Q80UW8 O54941
Q05915 Q9DAZ9
A6BLY7 Q9EPB5
P14719 Q8BTH8
Q7TN22 Q99JH8
Q8VD00 Q9D0C1
Q9D279 Q5NBX1
Q99MW1 Q60664
B1AXD8 A2ANQ2
Q9WU62 Q8R0F6
P43431 P97431
A0A1D5RLV3 Q5EC55
Q9Z324 Q5M9N4
A0A1L1STX8 A0A0B4J1F1
Q9CY73 Q99JN2
Q99LX5 Q99N96
P97402 Q5NBX1
O08966 Q61371
Q60753 P09024
Q8BIP0 Q9CXJ1
O88396 Q8K0C4
Q7TPR4 Q9QZQ1
A0A0R4J289 O70477
Q5BJ29 Q4KMS1
Q6ZQ11 A0A1Y7VLV0
Q8CGK3 B0V2N1
Q6PE84 Q6PE84
A2RSQ0 A2RSQ0
Q9CQI7 O54941
E9Q3H6 E9Q3H6
O08528 O08528
Q9R0B8 Q9R0B8
P47809 Q9CZT6
Q9QXY7 Q9QXY7
Q921K9 Q921K9
P63163 Q8CFT3
Q6P243 Q8BGV3
Q8BVQ9 Q8BVQ9
A0A0R4J1V0 P42209
P97760 Q7TMG8
G3X9P9 G3X9P9
Q9CZW4 Q9D023
E9Q286 E9Q286
P35486 P35486
Q8BRM2 Q8BVU5
Q8C9D4 P23708
E9QM77 F6U2C2
Q9QXS1 P28658
Q9D0U1 Q9D0U1
Q91ZP6 Q91ZP6
Q9D067 Q922X9
Q62392 Q62392
P62500 Q5DW34
Q5SZ99 Q5SZ99
Q61781 Q61781
Q8VIG1 Q9DC29
P70451 F6YG30
Q7TNK1 Q9Z2Z6
Q8BR07 Q9JMH7
Q6ZPQ6 Q6ZPQ6
Q3UHD9 Q7TT18
Q3TZ65 Q3TZ65
Q8K1A0 Q8K1A0
Q8VCM3 Q91XQ0
P97431 P43431
Q8C4X1 A2CG28
A0A0B4J1L1 D3Z4R4
O88746 Q99K85
P63006 P63006
Q6Q477 Q9R061
Q80ZJ8 Q80ZJ8
B1AWN8 Q62225
Q9QZS0 P27790
Q923F1 Q9CZW4
Q80XI4 Q6PFE7
P49183 Q9CX66
Q80YG3 E9Q9M9
Q99MV1 Q99MV1
P35564 P35564
P59108 A0A0R4J0R3
P49183 Q8BIG7
O35424 O35424
Q8K003 Q8K003
A6BLY7 P58390
Q8R5F3 Q9CR80
Q08460 Q60952
P42337 Q61263
Q922X9 A6BLY7
B0V2N1 Q9D023
P54731 P54731
Q923K4 Q9CQ28
Q61585 Q61585
Q9ER64 Q8R5F3
Q562D6 O70469
P01139 P01139
Q9CQQ0 Q9CQQ0
Q8R4E9 Q9DBS8
Q8C0E3 Q8K4K3
Q8CHV6 Q9CXI3
Q62406 Q62406
Q9DCC4 Q9DCC4
E9QPI5 E9QPI5
P10711 O54917
E9QNG6 E9Q7T4
Q9DAM5 Q3UZ64
O88444 E9Q658
P68368 P68368
Q8R480 Q6A009
Q9Z1F9 Q61024
Q8R100 Q9R1R0
Q7TMQ7 Q7TMQ7
Q60876 Q8R3V6
Q8C428 Q9D8U3
Q8VD75 Q3TTA7
Q8K3I4 A2APB8
E9QPI5 Q9Z1F9
Q8CGP5 Q8CGP5
Q8CHY7 Q8BVN8
A0A140LIR2 B2RT41
D3Z200 Q8BX94
A0A0R4J0M9 Q6PIP5
Q61545 Q61545
A0A0B4J1F1 Q9CVI2
Q91VK1 Q91VK1
Q8BKC5 Q8BKC5
Q3U2J5 Q9CXC9
Q9CUB6 Q5U4H9
Q60634 Q60634
E9Q357 Q2MHE5
Q9Z2V4 A0A0R4J0D7
O35740 O35740
Q01279 Q01279
Q80UP3 Q9CS74
Q60668 P97496
Q60843 O35740
Q99MV1 Q9DC29
Q9CQS4 Q8BYG9
V9GXH0 Q5BN45
P21129 P21129
Q61425 Q61425
Q9ESU7 Q9ESU7
Q58Y75 B1AZ99
Q8C0D4 Q8C0D4
Q8R3L5 G3X8V6
Q3UZG4 P39876
Q9JJY3 Q9JJY3
P54369 G3X8V6
Q9JIG4 Q9CXI3
Q5STE3 A0A0N4SW31
Q80X56 Q80ZJ8
Q8VE73 Q8VE73
E9QJU8 E9QJU8
Q8BT18 Q6XUX1
P15533 P15533
A0A0R4J0D7 A0A0R4J0D7
Q5NBX1 P97402
E9Q5L8 E9Q5L8
Q8K119 Q99JN2
Q8R2T8 F8VQC1
Q8VDT9 Q8BHD1
A0A1B0GSQ5 P63328
Q8BVU5 P09926
P49650 A0A0B4J1F0
P14719 H3BKL1
Q8K0C4 Q4QQM5
Q6XUX1 Q8BT18
Q6PFE7 H3BLC4
Q811Q9 Q9D6K5
P97445 Q3UHD9
Q9WUU6 P70325
P43687 P42581
O70477 O70477
B2RUG9 Q60952
Q571H0 Q571H0
Q5SX39 Q5SX39
Q9WU20 Q9WU20
E9Q839 E9Q839
Q80U63 Q8C079
Q99NF3 H3BLG8
G3UX69 G3X9P9
Q8BWZ3 F8VQJ3
P21981 O35618
Q8VDM6 P84104
Q64669 E9Q577
Q8BGA7 Q8BGA7
P35639 Q9CZ04
Q8BKI2 Q9CYU6
P59672 P59672
P16283 O35558
P98191 Q61738
Q9EST4 Q64523
Q8C033 Q03517
Q8K119 Q9CWT6
A0A286YCV9 Q8BND3
P27548 O08791
Q6Q477 Q9CZW4
A0A0R4J289 P27790
A0A0A0MQF5 Q99MB7
Q6PAJ1 O08811
D3Z2N7 E9Q3X0
Q8R4E9 Q6P9Q6
P54763 P54763
Q9JJG0 Q9WUL8
H3BLG8 Q99NF3
O55239 O55239
Q9D6K5 Q811Q9
Q60662 O88987
Q5SRY7 Q5SRY7
Q9CRB9 E9QPI5
Q8R1H8 Q9EQ14
Q8CGK3 Q9CQU3
G5E8F1 Q9JHI8
Q9WTV7 A3KFM7
A6BLY7 Q9D2F7
G3X8Z7 Q9Z1M2
A2ASQ1 Q8CFD4
O55074 O55074
F7DDS0 Q9CWT6
Q9DCV6 Q9DCV6
A0A087WQ16 Q9D1C8
Q91ZY2 Q922X9
Q9DBC3 Q99JN2
Q3U8Y1 P26350
O88875 Q3UPE3
Q9EPS3 A0A0A0MQ97
Q8CGB6 Q9JI91
A2CG28 G3X9P9
Q9DAM5 Q8VBV3
E9PYF7 E9PYF7
P61222 Q8BVQ9
Q9QZQ1 Q8CIB5
O88444 O88444
Q80ZW2 Q9WTV7
Q9DBS8 Q9DBS8
Q6ZWY3 P48962
Q9CZW4 P60605
A0A0J9YTR2 E9Q5Z6
Q8C142 Q8C142
Q9Z2S7 P70121
A0A0R4J1S3 D3Z5N8
Q9R190 Q9D0E1
P39447 P39447
O35625 Q9Z1E3
Q8K4P8 Q9CZJ6
O35375 Q99MW1
Q924N4 P55012
Q61024 Q61024
B8JJE0 B8JJE0
Q8BX94 O89013
O08686 O08686
B2RXC6 Q6P1G0
E9QPE7 E9QPE7
P20029 P20029
P70451 Q3U3V8
Q3UD01 Q99PM9
Q6J1H4 Q6J1H4
Q9JI75 P05201
G3X8R8 Q91ZD6
Q9Z0F8 F8VQ40
Q9JJS7 Q9JIF3
P09036 Q9D2F7
Q8K558 Q8K558
Q3UPF5 Q3UPF5
Q9DBR3 O09172
Q8K1R3 A0A0R4J0M9
P62500 Q6NXY1
O88829 O88829
E9QN59 Q9D0M0
Q921S7 A2A4P0
Q9CZR4 G3X8V6
E9Q5K9 A2AF53
A2AEP2 Q9QXE2
Q9CQC6 Q3U9N4
A0A0R4J0T0 A0A0R4J0T0
Q7TT18 Q9JI91
P05214 P05214
Q8BLG0 Q8BLG0
Q9QZS0 Q8K2W9
Q99N48 Q99N80
Q9CQL5 Q9DAM5
O54917 P08122
Q6EBV9 Q6EBV9
A0A0B4J1L1 Q3U5D9
Q6J1H4 Q8R0S1
Q9D9S1 Q80YD6
Q61584 Q61584
P01631 P01631
P63163 Q9D906
Q9ESW4 Q9ESW4
P62827 P62827
H3BKL1 Q8BTH8
Q5BN45 P43267
Q9QXE2 Q9QXE2
Q8BT07 Q80UP3
P14142 P14142
Q3TQB2 Q3UZ64
Q9WV31 O88602
Q08460 P83741
P48962 Q6ZWY3
Q8BVR6 O35988
Q9ER69 Q62383
P28658 Q9QXS1
Q80W04 A0A0R4J0I7
G5E8N7 Q8CIB5
P97504 P97504
Q9D2C2 Q6Q477
Q8CEG5 Q91VJ5
P23804 P23804
Q9JJP2 Q9JJP2
O35226 O35226
O35704 O35704
G3X908 A2ANQ2
Q62431 Q05769
Q8CCI5 P49135
A0A0U1RNL9 Q3TQB2
Q8BI79 Q60695
Q6PHZ5 P59470
Q8BRM2 Q8BRM2
Q91XT6 Q91XT6
A0A0U1RNL9 Q8BFX1
Q499D0 A0A0R4J0E0
Q9QZN4 Q9QZN4
Q8C142 Q99LI9
Q9WUU6 E9Q5L8
Q8R2T8 Q8R2T8
Q9ERK0 Q9ERK0
P46460 P46460
O88379 Q499D0
F6ZFP8 A0A0R4J069
O54941 Q80UW8
E9QPI5 Q99LE6
Q9JKC7 Q9JKC7
O35231 P51683
Q9D300 Q6PI17
Q9ET39 Q9D3L0
P62816 P62816
Q8C0M0 Q8C0M0
P63006 Q9Z0S2
Q8CCJ9 Q9QYE3
Q923K4 Q09324
P27790 Q8K2W9
Q8K119 Q8K119
A2A9C3 A2A9C3
Q8CEC4 Q80WQ8
A0A1W2P8A6 A0A1W2P8A6
Q5SWP3 Q5SWP3
Q9WUA3 O89112
Q91ZD6 Q3UFM6
E9Q2V7 E9Q8D0
Q3V125 Q3V125
P97402 Q9D279
F6TVP2 F6TVP2
P56542 D6RGR1
D3YYZ1 G3X9F4
P47791 P47791
Q9R100 A0A0B4J1F0
Q61263 B2RUG9
Q9R0P5 P48962
Q9CQI1 Q9CQI1
O70551 O70551
G3X9F4 Q148W0
Q80W04 Q811Q9
Q8K201 P08226
Q6R0H7 B0V2N1
Q8BX13 Q8BX13
P16283 P70304
Q9ER69 Q9CPP0
Q3UD01 G3X8V6
Q9WUI1 P23708
Q8VIG1 Q99MV1
P70304 Q9R0B8
B2RUG9 P35762
Q9CS74 Q91ZD6
P49183 Q9CPY3
Q99J78 Q99J78
Q08460 M0QW59
Q91X76 Q91X76
Q9CR26 Q9CR26
P70297 P70297
B1AT59 B1AT59
Q8BHN1 Q9Z138
Q91YI1 Q91YI1
A0A286YD23 V9GXH0
Q8BWJ3 Q8BWJ3
P70662 P70662
E9PV60 Q9QZN1
Q920E5 Q920E5
A0A0B4J1F0 A0A0B4J1F0
Q3UQZ7 Q3UQZ7
Q64731 Q64731
Q8JZQ2 Q8JZQ2
H3BKQ3 Q8BIX3
Q9CQQ7 Q9D2C2
Q8BXZ1 Q9CR26
Q9CQI9 Q91VJ5
Q8C0M0 D3YX87
Q9D1I6 Q9D1I6
Q6PIP5 Q80U63
Q9D2D9 E9Q349
Q8BVN8 Q8BVN8
Q91WD5 Q91WD5
O55074 Q3U1J0
Q91XU3 Q9Z248
Q8BGZ1 Q91ZY2
Q9D7P9 Q8R3L5
Q80SY9 Q9WTZ1
Q62559 Q7TNF0
O54788 O54788
Q6Y7W8 Q8BK63
F8VQJ3 F8VQJ3
Q80W04 Q9D6K5
A0A0R4J0V0 Q9D6Z0
P61963 Q5RIM6
Q9D384 Q9ERD8
F6U2C2 E9QM77
Q64151 Q64151
A2AM37 A0A0R4J090
Q9CPQ8 Q9CPQ8
P70325 P70325
Q9JIK5 Q9JIK5
Q91VJ5 Q9WTZ0
Q7TSQ8 Q6PAR0
P83741 Q60952
Q9Z1X9 Q9Z1X9
D3Z5N8 Q8BI79
Q5SVQ0 Q5SVQ0
Q8K368 Q8K368
Q9D1C3 Q9D1C3
D6RGR1 D6RGR1
Q6PFD6 Q921W0
O35382 O35382
Q8BU88 Q9Z1M4
Q9D1I6 A6H611
Q6IRU2 Q6IRU2
Q8BVH9 Q91ZG2
G3X9F5 G3X9F5
Q3V1T4 Q91X76
P43267 Q8BYG9
Q9D554 Q9D554
E9PV60 E9PV60
O35308 O35308
Q64378 Q64378
P97785 P97785
P09036 A6BLY7
E9Q2V7 E9Q2V7
Q2TBA3 Q2TBA3
Q80U04 F8WGW3
Q64475 Q64475
Q9D1D1 Q61738
Q69ZR2 A2A6A1
Q99JR8 Q60749
Q99J56 Q99J56
Q6ZQ12 Q6ZQ12
P09036 Q0P5X5
E9PXZ3 Q6F5E0
Q62381 Q62381
Q9CZY2 Q61471
Q9CYU6 Q99M01
A0A0R4J1K6 E9QL43
Q9WVM1 Q9CPU7
B1AR17 Q6ZPJ3
Q8BRM2 S4R2L8
Q148W0 Q148W0
P09025 Q8K3I4
E9Q349 Q9R1K7
P00756 P00757
P31257 Q7TNS2
Q9JI75 Q9JI75
Q99M80 Q9DBR3
Q91YQ7 Q9Z0V8
O88396 Q3ZK22
O88379 O88379
O70469 P97428
P17564 Q6PFE1
Q6NS46 Q6PDG5
Q91ZD6 Q80UP3
P14719 D3YYQ7
Q61390 Q8R4E9
Q8K194 Q8K194
Q9D850 Q9D850
Q6P5F7 O08970
P81270 Q9R1A8
Q9JI39 Q8K0C4
Q8C2R7 Q8C2R7
Q6Q477 Q8CGK3
A2AUK5 P53668
Q61627 Q3UL97
Q9Z1T1 Q8CIB5
Q9CQQ7 Q9D023
Q9CQR7 Q9QXM0
P12388 Q8BHD0
P70696 A2AJI0
G3UVU5 E9Q8D0
D3YX87 D3YX87
Q8BIG7 Q9CX66
P54731 Q9ESW4
Q9R0Q3 Q9R0Q3
Q9Z1F9 A2AKX3
Q8C804 Q3UFM6
Q69ZJ7 A2RSY1
Q62186 P61211
P60122 Q62167
Q6P1G0 Q64478
Q9D3S9 Q9WU56
Q61152 Q3U717
Q80VD1 Q5RL57
Q80UY2 Q9D1F4
Q6P9P6 Q6P9P6
Q9DCV6 Q9JHI8
Q99JH8 Q99JH8
Q58FA4 H3BLF0
P62137 P62137
E9Q658 Q3U5D9
E9Q658 P63013
Q99MR6 Q99MR6
P70347 A0A0R4J057
Q9D8Q6 Q9D8Q6
Q99PM9 A0A140LJ72
Q6A037 Q9CR40
P53395 Q9D8W5
A0A0R4J090 E9Q395
A2ABV5 Q6PAJ3
Q8BJ63 A2AM37
Q99K74 P61219
Q80XI3 Q80XI3
G5E8N7 G5E8N7
G3UYS1 G3X908
Q8R3L5 Q3UD01
S4R1V8 S4R1V8
P54369 A0A140LJ72
E9PXE2 E9PXE2
Q9Z0F8 P10711
Q8BHL6 Q8CI96
Q9WVA3 O35218
P97445 P35438
P81270 P81270
Q9D892 P05201
Q9CR39 Q8CBD1
Q3UBG2 Q5U462
O88875 Q9D3L0
G3UX50 G3UX50
P63328 A0A1B0GSQ5
Q9D3L0 Q9ET39
A2AQ07 Q8CH72
O35455 O35455
Q8K003 Q80Y24
Q9CPU7 Q8CGB6
P47738 P47738
Q04750 Q04750
E9Q784 A0A1W2P8A6
A0A286YCV9 Q8K119
Q8BGG7 Q8BGG7
Q60739 Q9CQL5
P55200 O35253
Q9D067 Q62559
P49615 Q9R0P9
O88904 G3UX69
P52927 P52927
Q8BGZ1 Q7TNF0
Q99KY4 Q99KY4
P0DOV1 Q8BWQ4
Q69ZJ7 Q69ZJ7
Q8BGR8 Q8BGR8
Q9QXS1 Q9QXS1
Q60596 Q60596
Q8K2Z4 Q8K2Z4
Q9Z0Z7 P70460
G3UX69 A0A1L1SU00
D3YVH8 Q922H7
Q80VP5 Q80VP5
Q9QZN1 A2AUC9
Q0P5X5 Q8BGZ1
Q5SQ27 P56479
P23950 P23950
Q9DBC3 F7DDS0
Q91VH2 Q91VH2
Q8VDP3 Q9JMH7
Q99JZ7 Q99JZ7
Q9CS74 Q80UP3
H3BLC8 Q8CI96
Q9D0M0 P23708
P09036 Q99MS7
Q6PFD6 A2ASQ1
O88838 O88838
Q9CVI2 A2AEP2
Q7TNV0 Q9Z1B8
E9Q7T4 E9Q7T4
A3KBF5 P42581
Q6NXL5 Q6NXL5
P00520 P00520
Q8K284 Q6PDQ2
Q8K3P0 E9QAP1
P97379 P97379
Q3UQZ7 Q07563
P21981 E9PUU5
Q61781 Q99M80
Q99MS7 Q8BGZ1
Q9CY27 A8C756
E9QPE7 Q8BH59
Q9CQ91 Q9CQ91
E9QN59 P23708
Q8BHN1 O35239
Q8K1C7 P56469
Q8C6C9 Q9CQR7
Q99KU0 Q3ZK22
Q8BHE5 Q8BHE5
Q99KF1 E9Q577
Q9JHG1 Q9Z324
Q9JJU6 A0A0J9YTR2
P83741 P83741
Q91W82 Q91W82
Q61152 Q61152
P81270 Q9Z1K5
P34152 P34152
Q924W5 Q924W5
Q3U4H6 Q3U4H6
P98191 G3X939
Q9CPU7 A2AIV8
H3BLC4 Q80XI4
F7DDS0 A0A286YCV9
G3X908 G3UYS1
F8VQJ3 P26883
Q8JZQ2 Q8CGK3
Q8BTH8 A0A0R4J057
Q9Z2V5 Q9Z2V5
P43687 Q61371
Q921G9 Q8CFZ4
Q7TMQ7 Q80ZX0
Q99JW4 Q64523
Q61390 Q3U564
D3YXR2 Q5D078
A2AJW5 Q8BHT6
D3Z656 P03930
P51910 P51910
Q3TMP1 Q3TMP1
Q60876 Q99KJ0
Q3TYD6 Q8R3V6
P59470 Q8BHN1
P51637 Q562D6
Q9CRD2 Q9CRD2
Q60739 Q60739
Q8CGK3 Q9R061
Q80TQ2 Q80TQ2
Q8BH40 Q8BH40
E9QAP1 E9QAP1
Q91XU3 Q8BWZ3
Q60748 Q8K003
Q9WU78 Q9WU78
P97315 P97315
P63330 P63330
Q9QZS8 P97428
Q9JMH7 A2A8Z1
P21981 P21981
Q9EP64 Q9EP64
Q7TPR4 P47757
Q91YU7 Q91YU7
A0A140LJ72 Q9D7P9
Q80W04 Q80W04
Q6P5B5 Q6P5B5
Q570Y9 Q8VEJ1
A0A1L1SU00 A0A1L1SU00
D6RGA0 Q9D1C8
Q9D2F7 Q9D2F7
Q8K2Y0 Q8K2Y0
Q924K8 Q9Z1B8
Q9Z127 A7UAK5
Q9JJN0 P63271
P58390 Q0P5X5
P29699 P29699
Q91YU7 Q9D3D0
Q8CGK3 Q8CGK3
Q9CQ06 Q9CQ06
F8VPN4 Q9Z1X9
A0A0R4J1Z2 A0A0R4J1Z2
Q91YQ7 Q91YQ7
O55222 O55222
Q91X76 A8C756
P97428 Q8R0L1
Q91WI7 E9Q7T4
M0QW46 M0QW46
O35625 Q9JJP2
Q62053 P97318
P0DJI6 P0DJI6
Q9D0D4 Q9D0D4
Q3UFM6 Q91ZD6
Q3URE1 Q3URE1
Q9D1D1 G3X939
G3X9F5 Q8BR27
Q9Z2C4 Q9Z2C4
Q62486 O55134
E9Q5M4 Q3UY96
Q9Z1T1 G5E8N7
Q9Z1X9 Q8K119
P98191 Q9R100
Q9D8W5 Q6ZWY3
Q8VE04 Q78RX3
Q9CWV0 P97402
P36898 P36898
Q8R480 Q3TTA7
Q62383 Q61598
Q9D1C8 A0A087WSS2
P70121 P70121
Q8VD75 Q6A009
Q9DBT5 A0A286YCN8
P40237 P40237
Q8BWC0 Q3TMP8
Q5U462 Q3UD01
D3Z6K8 D3Z6K8
P70347 P70347
Q9CQI9 Q9R0S0
Q3U0V1 Q3U0V1
Q3MI48 Q3MI48
Q64669 A0A0R4J073
Q60771 E9PXZ3
S4R1V8 E9QJS7
Q9CWT6 Q9DBC3
Q80UW0 Q80UW0
Q8CIB5 Q9Z1T1
O88444 A0A0B4J1L1
Q6NSR8 Q99KJ0
Q99MS7 Q62559
Q9R0P5 P53395
Q9Z1M4 Q8VBV3
